,party,positive,neutral,negative,positive_rank,neutral_rank,negative_rank,session
672,AfD,0.239229024943311,0.638321995464853,0.122448979591837,4,4,3,19115
673,DIE LINKE,0.176701570680628,0.585078534031414,0.238219895287958,6,6,1,19115
674,CDU/CSU,0.269972451790634,0.639669421487603,0.090358126721763,2,3,5,19115
675,FDP,0.260290556900726,0.653753026634383,0.085956416464891,3,1,6,19115
676,BÜNDNIS 90/DIE GRÜNEN,0.207100591715976,0.644970414201183,0.14792899408284,5,2,2,19115
677,SPD,0.294026377036462,0.615205585725369,0.090768037238169,1,5,4,19115
678,AfD,0.212177121771218,0.677121771217712,0.11070110701107,5,1,3,19116
679,DIE LINKE,0.189931350114416,0.631578947368421,0.178489702517162,6,2,1,19116
680,CDU/CSU,0.295616717635066,0.622833843017329,0.081549439347605,3,3,5,19116
681,FDP,0.324766355140187,0.595794392523364,0.079439252336449,1,5,6,19116
682,BÜNDNIS 90/DIE GRÜNEN,0.274074074074074,0.57037037037037,0.155555555555556,4,6,2,19116
683,SPD,0.301948051948052,0.613636363636364,0.084415584415585,2,4,4,19116
684,AfD,0.16289592760181,0.733031674208145,0.104072398190045,5,1,5,19117
685,DIE LINKE,0.182481751824818,0.554744525547445,0.262773722627737,4,6,1,19117
686,CDU/CSU,0.265822784810127,0.645569620253165,0.088607594936709,1,4,6,19117
687,FDP,0.214285714285714,0.661904761904762,0.123809523809524,3,3,4,19117
688,BÜNDNIS 90/DIE GRÜNEN,0.090909090909091,0.727272727272727,0.181818181818182,6,2,2,19117
689,SPD,0.224852071005917,0.63905325443787,0.136094674556213,2,5,3,19117
690,AfD,0.206801470588235,0.653492647058823,0.139705882352941,6,1,2,19118
691,DIE LINKE,0.210355987055016,0.590614886731392,0.199029126213592,5,6,1,19118
692,CDU/CSU,0.281006590772918,0.61114439784302,0.107849011384062,1,5,5,19118
693,FDP,0.260689655172414,0.635862068965517,0.103448275862069,3,2,6,19118
694,BÜNDNIS 90/DIE GRÜNEN,0.255102040816327,0.627551020408163,0.11734693877551,4,3,3,19118
695,SPD,0.26972010178117,0.618320610687023,0.111959287531807,2,4,4,19118
